Areaname	STCOU	IPE010206F	IPE010206D	IPE010206N1	IPE010206N2	IPE010207F	IPE010207D	IPE010207N1	IPE010207N2	IPE010208F	IPE010208D	IPE010208N1	IPE010208N2	IPE010209F	IPE010209D	IPE010209N1	IPE010209N2	IPE110195F	IPE110195D	IPE110195N1	IPE110195N2	IPE110197F	IPE110197D	IPE110197N1	IPE110197N2	IPE110198F	IPE110198D	IPE110198N1	IPE110198N2	IPE110199F	IPE110199D	IPE110199N1	IPE110199N2	IPE110200F	IPE110200D	IPE110200N1	IPE110200N2	IPE110201F	IPE110201D	IPE110201N1	IPE110201N2
Iron, MO	29093	0	30442	0000	0000	0	30490	0000	0000	0	29219	0000	0000	0	31608	0000	0000	0	2431	0000	0000	0	2222	0000	0000	0	2121	0000	0000	0	1955	0000	0000	0	1783	0000	0000	0	1738	0000	0000
Jackson, MO	29095	0	44187	0000	0000	0	44356	0000	0000	0	47284	0000	0000	0	45798	0000	0000	0	96389	0000	0000	0	80422	0000	0000	0	74455	0000	0000	0	71567	0000	0000	0	64252	0000	0000	0	66882	0000	0000
Jasper, MO	29097	0	34308	0000	0000	0	37055	0000	0000	0	38085	0000	0000	0	38184	0000	0000	0	14972	0000	0000	0	13943	0000	0000	0	13815	0000	0000	0	14076	0000	0000	0	13532	0000	0000	0	14462	0000	0000
Jefferson, MO	29099	0	53419	0000	0000	0	56755	0000	0000	0	57897	0000	0000	0	53939	0000	0000	0	15678	0000	0000	0	15310	0000	0000	0	14790	0000	0000	0	14406	0000	0000	0	13285	0000	0000	0	14001	0000	0000
Johnson, MO	29101	0	41308	0000	0000	0	44191	0000	0000	0	47093	0000	0000	0	40028	0000	0000	0	5618	0000	0000	0	5303	0000	0000	0	5114	0000	0000	0	5147	0000	0000	0	4889	0000	0000	0	5102	0000	0000
Knox, MO	29103	0	30281	0000	0000	0	35168	0000	0000	0	31193	0000	0000	0	30963	0000	0000	0	801	0000	0000	0	796	0000	0000	0	819	0000	0000	0	776	0000	0000	0	664	0000	0000	0	703	0000	0000
Laclede, MO	29105	0	34035	0000	0000	0	37282	0000	0000	0	35325	0000	0000	0	35807	0000	0000	0	4774	0000	0000	0	4675	0000	0000	0	4527	0000	0000	0	4468	0000	0000	0	4319	0000	0000	0	4675	0000	0000
Lafayette, MO	29107	0	43728	0000	0000	0	43739	0000	0000	0	46394	0000	0000	0	45921	0000	0000	0	3871	0000	0000	0	3483	0000	0000	0	3317	0000	0000	0	3106	0000	0000	0	2899	0000	0000	0	3026	0000	0000
Lawrence, MO	29109	0	34949	0000	0000	0	36903	0000	0000	0	36966	0000	0000	0	37149	0000	0000	0	4927	0000	0000	0	4856	0000	0000	0	4654	0000	0000	0	4783	0000	0000	0	4611	0000	0000	0	4925	0000	0000
Lewis, MO	29111	0	36664	0000	0000	0	36970	0000	0000	0	39295	0000	0000	0	37721	0000	0000	0	1452	0000	0000	0	1376	0000	0000	0	1349	0000	0000	0	1382	0000	0000	0	1298	0000	0000	0	1336	0000	0000
Lincoln, MO	29113	0	50425	0000	0000	0	54938	0000	0000	0	54740	0000	0000	0	50795	0000	0000	0	3681	0000	0000	0	3725	0000	0000	0	3791	0000	0000	0	3678	0000	0000	0	3449	0000	0000	0	3668	0000	0000
Linn, MO	29115	0	33549	0000	0000	0	33485	0000	0000	0	35602	0000	0000	0	34260	0000	0000	0	2099	0000	0000	0	1939	0000	0000	0	1960	0000	0000	0	1881	0000	0000	0	1684	0000	0000	0	1693	0000	0000
Livingston, MO	29117	0	37063	0000	0000	0	37266	0000	0000	0	39444	0000	0000	0	38099	0000	0000	0	2014	0000	0000	0	1769	0000	0000	0	1681	0000	0000	0	1697	0000	0000	0	1607	0000	0000	0	1706	0000	0000
McDonald, MO	29119	0	31916	0000	0000	0	33445	0000	0000	0	35298	0000	0000	0	32866	0000	0000	0	3881	0000	0000	0	3844	0000	0000	0	3675	0000	0000	0	3796	0000	0000	0	3637	0000	0000	0	3802	0000	0000
Macon, MO	29121	0	33302	0000	0000	0	35480	0000	0000	0	36576	0000	0000	0	36336	0000	0000	0	2032	0000	0000	0	1812	0000	0000	0	1906	0000	0000	0	1891	0000	0000	0	1850	0000	0000	0	1914	0000	0000
Madison, MO	29123	0	29974	0000	0000	0	31312	0000	0000	0	31590	0000	0000	0	31825	0000	0000	0	2234	0000	0000	0	2044	0000	0000	0	1986	0000	0000	0	1943	0000	0000	0	1798	0000	0000	0	1898	0000	0000
Maries, MO	29125	0	33919	0000	0000	0	36693	0000	0000	0	38515	0000	0000	0	37850	0000	0000	0	1266	0000	0000	0	1207	0000	0000	0	1135	0000	0000	0	1122	0000	0000	0	1163	0000	0000	0	1185	0000	0000
Marion, MO	29127	0	34336	0000	0000	0	37592	0000	0000	0	40183	0000	0000	0	38778	0000	0000	0	4075	0000	0000	0	3803	0000	0000	0	3823	0000	0000	0	3547	0000	0000	0	3238	0000	0000	0	3397	0000	0000
Mercer, MO	29129	0	33600	0000	0000	0	34133	0000	0000	0	36736	0000	0000	0	34597	0000	0000	0	677	0000	0000	0	575	0000	0000	0	527	0000	0000	0	492	0000	0000	0	466	0000	0000	0	468	0000	0000
